Name,Artist,Album,Track Number
Take This Job and Shove It,Johnny Paycheck,Johnny Paycheck - 16 Biggest Hits,16
Every Little Bit Hurts,Barton Carroll,"Avery County, I'm Bound to You",8
Introduction and Royal March of the Lion,Camille Saint-Saëns,The Carnival of Animals,1
Hens and Cocks,Camille Saint-Saëns,The Carnival of Animals,2
Wild Jackasses,Camille Saint-Saëns,The Carnival of Animals,3
Tortoises,Camille Saint-Saëns,The Carnival of Animals,4
The Elephant,Camille Saint-Saëns,The Carnival of Animals,5
Kangaroos,Camille Saint-Saëns,The Carnival of Animals,6
Aquarium,Camille Saint-Saëns,The Carnival of Animals,7
Creatures With Long Ears,Camille Saint-Saëns,The Carnival of Animals,8
The Cuckoo in the Heart of the Woods,Camille Saint-Saëns,The Carnival of Animals,9
Aviary,Camille Saint-Saëns,The Carnival of Animals,10
Pianists,Camille Saint-Saëns,The Carnival of Animals,11
The Fossils,Camille Saint-Saëns,The Carnival of Animals,12
The Swan,Camille Saint-Saëns,The Carnival of Animals,13
Finale,Camille Saint-Saëns,The Carnival of Animals,14
Bury Your Burdens In The Ground,William Elliott Whitmore,Field Songs (Deluxe Edition),1
Field Song,William Elliott Whitmore,Field Songs (Deluxe Edition),2
Don't Need It,William Elliott Whitmore,Field Songs (Deluxe Edition),3
Everything Gets Gone,William Elliott Whitmore,Field Songs (Deluxe Edition),4
Let's Do Something Impossible,William Elliott Whitmore,Field Songs (Deluxe Edition),5
Get There From Here,William Elliott Whitmore,Field Songs (Deluxe Edition),6
We'll Carry On,William Elliott Whitmore,Field Songs (Deluxe Edition),7
Not Feeling Any Pain,William Elliott Whitmore,Field Songs (Deluxe Edition),8
From The Cellar Door To The Gallows,William Elliott Whitmore,Field Songs (Deluxe Edition),9
Midnight,William Elliott Whitmore,Field Songs (Deluxe Edition),10
Lift My Jug (Song For Hub Cale),William Elliott Whitmore,Field Songs (Deluxe Edition),11
The Chariot,William Elliott Whitmore,Field Songs (Deluxe Edition),12
Gail With The Golden Hair,The Handsome Family,Singing Bones,2
Back On Top,Songs: Ohia,The Lioness,7
Battle Royal (Album Version),"Duke Ellington & Count Basie, Count Basie",The Jazz Masters - 27 Classic Performances From The Columbia Masterpieces Series,12
It Wasn't God Who Made Honky Tonk Angels,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,1
One By One,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,3
Making Believe (1955 Single Version),Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,4
As Long As I Live,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,5
Searching (For Someone Like You),Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,6
I Can't Stop Loving You,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,7
Mommy For A Day,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,8
Amigo's Guitar,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,9
Heartbreak U.S.A.,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,10
Will Your Lawyer Talk To God?,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,11
You Don't Hear,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,12
The Beautiful Axe,Wovenhand,Ten Stones,1
Horsetail,Wovenhand,Ten Stones,2
Not One Stone,Wovenhand,Ten Stones,3
Cohawkin Road,Wovenhand,Ten Stones,4
Iron Feather,Wovenhand,Ten Stones,5
White Knuckle Grip,Wovenhand,Ten Stones,6
Quiet Nights Of Quiet Stars,Wovenhand,Ten Stones,7
Kicking Bird,Wovenhand,Ten Stones,8
Kingdom Of Ice,Wovenhand,Ten Stones,9
His Loyal Love,Wovenhand,Ten Stones,10
untitled,Wovenhand,Ten Stones,11
I Seen What I Saw,16 Horsepower,Sackcloth 'N' Ashes,1
Black Soul Choir,16 Horsepower,Sackcloth 'N' Ashes,2
Scrawled In Sap,16 Horsepower,Sackcloth 'N' Ashes,3
Horse Head,16 Horsepower,Sackcloth 'N' Ashes,4
Ruthie Lingle,16 Horsepower,Sackcloth 'N' Ashes,5
Harm's Way,16 Horsepower,Sackcloth 'N' Ashes,6
Black Bush,16 Horsepower,Sackcloth 'N' Ashes,7
Heel On The Shovel,16 Horsepower,Sackcloth 'N' Ashes,8
American Wheeze,16 Horsepower,Sackcloth 'N' Ashes,9
Red Neck Reel,16 Horsepower,Sackcloth 'N' Ashes,10
Prison Shoe Romp,16 Horsepower,Sackcloth 'N' Ashes,11
Neck On The New Blade,16 Horsepower,Sackcloth 'N' Ashes,12
Strong Man,16 Horsepower,Sackcloth 'N' Ashes,13
Ice Cold Daydream (Album Version),Shuggie Otis,Freedom Flight,1
Strawberry Letter 23,Shuggie Otis,Freedom Flight,2
Sweet Thang,Shuggie Otis,Freedom Flight,3
Me And My Woman,Shuggie Otis,Freedom Flight,4
Someone's Always Singing,Shuggie Otis,Freedom Flight,5
Purple,Shuggie Otis,Freedom Flight,6
Freedom Flight,Shuggie Otis,Freedom Flight,7
One Room Country Shack (Album Version),Shuggie Otis,Freedom Flight,8
Vinum Sabbathi,Electric Wizard,Dopethrone,1
Funeralopolis,Electric Wizard,Dopethrone,2
Weird Tales / Electric Frost / Golgotha / Altar of Melektaus,Electric Wizard,Dopethrone,3
Barbarian,Electric Wizard,Dopethrone,4
"I, the Witchfinder",Electric Wizard,Dopethrone,5
The Hills Have Eyes,Electric Wizard,Dopethrone,6
We Hate You,Electric Wizard,Dopethrone,7
Dopethrone,Electric Wizard,Dopethrone,8
Mind Transferal,Electric Wizard,Dopethrone,9
Silver City Bound,Nina Simone,Folksy Nina,1
When I Was A Young Girl,Nina Simone,Folksy Nina,2
Erets Zavat Chalav,Nina Simone,Folksy Nina,3
Lass Of The Low Country,Nina Simone,Folksy Nina,4
The Young Knight,Nina Simone,Folksy Nina,5
The Twelfth Of Never,Nina Simone,Folksy Nina,6
Vanetihu,Nina Simone,Folksy Nina,7
You Can Sing A Rainbow,Nina Simone,Folksy Nina,8
Hush Little Baby,Nina Simone,Folksy Nina,9
"Hungry Freaks, Daddy",Frank Zappa,Understanding America,1
Plastic People,Frank Zappa,Understanding America,2
Mom & Dad,Frank Zappa,Understanding America,3
It Can't Happen Here,Frank Zappa,Understanding America,4
Who Are The Brain Police?,Frank Zappa,Understanding America,5
Who Needs The Peace Corps?,Frank Zappa,Understanding America,6
Brown Shoes Don't Make It,Frank Zappa,Understanding America,7
Concentration Moon,Frank Zappa,Understanding America,8
Trouble Every Day,Frank Zappa,Understanding America,9
You're Probably Wondering Why I'm Here,Frank Zappa,Understanding America,10
We're Turning Again,Frank Zappa,Understanding America,11
Road Ladies,Frank Zappa,Understanding America,12
What Kind Of Girl Do You Think We Are?,Frank Zappa,Understanding America,13
Camarillo Brillo,Frank Zappa,Understanding America,14
Find Her Finer,Frank Zappa,Understanding America,15
Dinah-Moe Humm,Frank Zappa,Understanding America,16
Disco Boy,Frank Zappa,Understanding America,17
200 Years Old,Frank Zappa,Understanding America,18
I'm The Slime,Frank Zappa,Understanding America,19
Be In My Video,Frank Zappa,Understanding America,20
I Don't Even Care,Frank Zappa,Understanding America,21
Can't Afford No Shoes,Frank Zappa,Understanding America,22
Heavenly Bank Account,Frank Zappa,Understanding America,23
Cocaine Decisions,Frank Zappa,Understanding America,24
Dumb All Over,Frank Zappa,Understanding America,25
Promiscuous,Frank Zappa,Understanding America,26
Thing-Fish Intro,Frank Zappa,Understanding America,27
The Central Scrutinizer,Frank Zappa,Understanding America,28
Porn Wars Deluxe,Frank Zappa,Understanding America,29
Tinseltown Rebellion,Frank Zappa,Understanding America,30
Jesus Thinks You're A Jerk,Frank Zappa,Understanding America,31
From the Sun,Unknown Mortal Orchestra,II,1
Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,II,2
So Good At Being in Trouble,Unknown Mortal Orchestra,II,3
One at a Time,Unknown Mortal Orchestra,II,4
The Opposite of Afternoon,Unknown Mortal Orchestra,II,5
No Need for a Leader,Unknown Mortal Orchestra,II,6
Monki,Unknown Mortal Orchestra,II,7
Dawn,Unknown Mortal Orchestra,II,8
Faded in the Morning,Unknown Mortal Orchestra,II,9
Secret Xtians,Unknown Mortal Orchestra,II,10
Il Principe,Giulia Y Los Tellarini,Eusebio,1
Barcelona,Giulia Y Los Tellarini,Eusebio,2
Buenos Aires,Giulia Y Los Tellarini,Eusebio,3
Markitos,Giulia Y Los Tellarini,Eusebio,4
No Quiero Crecer,Giulia Y Los Tellarini,Eusebio,5
Ay Mi Niña,Giulia Y Los Tellarini,Eusebio,6
Tramontana,Giulia Y Los Tellarini,Eusebio,7
Mais Si L'amour,Giulia Y Los Tellarini,Eusebio,8
Mil Llorares,Giulia Y Los Tellarini,Eusebio,9
La Ley Del Retiro,Giulia Y Los Tellarini,Eusebio,10
Mon Chien,Giulia Y Los Tellarini,Eusebio,11
No Quiero Crecer,Giulia Y Los Tellarini,Eusebio,12
Mais Si L'amour (Instrumental),Giulia Y Los Tellarini,Eusebio,13
Bode,Vijay Iyer Trio,Accelerando,1
Optimism,Vijay Iyer Trio,Accelerando,2
The Star of a Story,Vijay Iyer Trio,Accelerando,3
Human Nature (Trio Extension),Vijay Iyer Trio,Accelerando,4
Wildflower,Vijay Iyer Trio,Accelerando,5
Mmmhmm,Vijay Iyer Trio,Accelerando,6
Litle Pocket Size Demons,Vijay Iyer Trio,Accelerando,7
Lude,Vijay Iyer Trio,Accelerando,8
Accelerando,Vijay Iyer Trio,Accelerando,9
Actions Speak,Vijay Iyer Trio,Accelerando,10
The Village of the Virgins,Vijay Iyer Trio,Accelerando,11
A Sender,Avey Tare's Slasher Flicks,Enter The Slasher House,1
Duplex Trip,Avey Tare's Slasher Flicks,Enter The Slasher House,2
Blind Babe,Avey Tare's Slasher Flicks,Enter The Slasher House,3
Little Fang,Avey Tare's Slasher Flicks,Enter The Slasher House,4
Catchy (Was Contagious),Avey Tare's Slasher Flicks,Enter The Slasher House,5
That It Won't Grow,Avey Tare's Slasher Flicks,Enter The Slasher House,6
The Outlaw,Avey Tare's Slasher Flicks,Enter The Slasher House,7
Roses On The Window,Avey Tare's Slasher Flicks,Enter The Slasher House,8
Modern Days E,Avey Tare's Slasher Flicks,Enter The Slasher House,9
Strange Colores,Avey Tare's Slasher Flicks,Enter The Slasher House,10
Your Card,Avey Tare's Slasher Flicks,Enter The Slasher House,11
Dean,Terry Reid,River,1
Avenue,Terry Reid,River,2
Things To Try,Terry Reid,River,3
Live Life,Terry Reid,River,4
River,Terry Reid,River,5
Dream,Terry Reid,River,6
Milestones,Terry Reid,River,7
Cut off My Hands,Chad VanGaalen,Shrink Dust,1
Where Are You?,Chad VanGaalen,Shrink Dust,2
Frozen Paradise,Chad VanGaalen,Shrink Dust,3
Lila,Chad VanGaalen,Shrink Dust,4
Weighed Sin,Chad VanGaalen,Shrink Dust,5
Monster,Chad VanGaalen,Shrink Dust,6
Evil,Chad VanGaalen,Shrink Dust,7
Leaning on Bells,Chad VanGaalen,Shrink Dust,8
All Will Combine,Chad VanGaalen,Shrink Dust,9
Weird Love,Chad VanGaalen,Shrink Dust,10
Hangman's Son,Chad VanGaalen,Shrink Dust,11
Cosmic Destroyer,Chad VanGaalen,Shrink Dust,12
Dip And Fallback,Justin Hinds & The Dominoes,Jezebel,2
Got To Be There,Toots & The Maytals,In The Dark,1
In The Dark,Toots & The Maytals,In The Dark,2
Having A Party,Toots & The Maytals,In The Dark,3
Time Tough,Toots & The Maytals,In The Dark,4
I See You,Toots & The Maytals,In The Dark,5
Take A Look In The Mirror,Toots & The Maytals,In The Dark,6
Take Me Home Country Roads,Toots & The Maytals,In The Dark,7
Fever,Toots & The Maytals,In The Dark,8
Love Gonna Walk Out On Me,Toots & The Maytals,In The Dark,9
Revolution,Toots & The Maytals,In The Dark,10
54-46 Was My Number,Toots & The Maytals,In The Dark,11
Sailing On,Toots & The Maytals,In The Dark,12
Supplier,Freddie Gibbs & Madlib,Piñata,1
Scarface,Freddie Gibbs & Madlib,Piñata,2
Deeper,Freddie Gibbs & Madlib,Piñata,3
High (feat. Danny Brown),Freddie Gibbs & Madlib,Piñata,4
Harold’s,Freddie Gibbs & Madlib,Piñata,5
Bomb (feat. Raekwon),Freddie Gibbs & Madlib,Piñata,6
Shitsville,Freddie Gibbs & Madlib,Piñata,7
Thuggin’,Freddie Gibbs & Madlib,Piñata,8
Real,Freddie Gibbs & Madlib,Piñata,9
Uno,Freddie Gibbs & Madlib,Piñata,10
"Robes (feat. Domo Genesis, Earl Sweatshirt)",Freddie Gibbs & Madlib,Piñata,11
Broken (feat. Scarface),Freddie Gibbs & Madlib,Piñata,12
"Lakers (feat. Ab-Soul, Polyester the Saint)",Freddie Gibbs & Madlib,Piñata,13
Knicks,Freddie Gibbs & Madlib,Piñata,14
Shame (feat. BJ The Chicago Kid),Freddie Gibbs & Madlib,Piñata,15
Watts (feat. Big Time Watts),Freddie Gibbs & Madlib,Piñata,16
"Piñata (feat. Domo Genesis, G-Wiz, Casey Veggies, Sulaiman, Meechy Darko, Mac Miller)",Freddie Gibbs & Madlib,Piñata,17
Moon Watching,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,1
Please Don't Bother Me Anymore,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,2
The Man Who Must Leave,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,3
The Sun,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,4
I Don't Like,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,5
Please Wait,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,6
Spring Rain,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,7
Tomorrow,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,8
"""J"" Blues 72",Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,9
Pushing Through the Fog,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,10
I've Got Nothing to Say,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,11
Why That Person?,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,12
Sunset,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,13
Beautiful Rivers and Mountains,Shin Joong Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,14
Moonlight In Vermont,Bud Powell,Bud Powell's Moods,1
Spring Is Here,Bud Powell,Bud Powell's Moods,2
Buttercup,Bud Powell,Bud Powell's Moods,3
Fantasy In Blue,Bud Powell,Bud Powell's Moods,4
It Never Entered My Mind,Bud Powell,Bud Powell's Moods,5
A Foggy Day,Bud Powell,Bud Powell's Moods,6
Time Was,Bud Powell,Bud Powell's Moods,7
My Funny Valentine,Bud Powell,Bud Powell's Moods,8
I Get A Kick Out Of You,Bud Powell,Bud Powell's Moods,9
You Go To My Head,Bud Powell,Bud Powell's Moods,10
The Best Thing For You,Bud Powell,Bud Powell's Moods,11
Be Kind to a Man While He's Down,Foghorn Stringband,Outshine the Sun,1
Humpback Mule,Foghorn Stringband,Outshine the Sun,2
Homestead On the Farm,Foghorn Stringband,Outshine the Sun,3
Salty River Reel,Foghorn Stringband,Outshine the Sun,4
Going Home,Foghorn Stringband,Outshine the Sun,5
Horseshoe Bend,Foghorn Stringband,Outshine the Sun,6
Sweeter Than the Flowers,Foghorn Stringband,Outshine the Sun,7
Come All You Virginia Girl,Foghorn Stringband,Outshine the Sun,8
Western Union,Foghorn Stringband,Outshine the Sun,9
Just a Few Old Memories,Foghorn Stringband,Outshine the Sun,10
Indian Ate the Woodchuck,Foghorn Stringband,Outshine the Sun,11
By the River,Foghorn Stringband,Outshine the Sun,12
Lover's First Quarrel,Foghorn Stringband,Outshine the Sun,13
'tits Yeux Bleus,Foghorn Stringband,Outshine the Sun,14
Whoa Mule,Foghorn Stringband,Outshine the Sun,15
Distant Land to Roam,Foghorn Stringband,Outshine the Sun,16
Outshine the Sun,Foghorn Stringband,Outshine the Sun,17
Jones' Waltz,Foghorn Stringband,Outshine the Sun,18
Gospel Ship,Foghorn Stringband,Outshine the Sun,19
Over the Garden Wall,Foghorn Stringband,Outshine the Sun,20
Mama Blues,Foghorn Stringband,Outshine the Sun,21
Touch The Hem Of His Garment,Sam Cooke,Portrait of a Legend (Remastered),1
Lovable,Sam Cooke,Portrait of a Legend (Remastered),2
You Send Me,Sam Cooke,Portrait of a Legend (Remastered),3
Only Sixteen,Sam Cooke,Portrait of a Legend (Remastered),4
(I Love You) For Sentimental Reasons,Sam Cooke,Portrait of a Legend (Remastered),5
Just For You,Sam Cooke,Portrait of a Legend (Remastered),6
Win Your Love For Me,Sam Cooke,Portrait of a Legend (Remastered),7
Everybody Loves To Cha Cha Cha,Sam Cooke,Portrait of a Legend (Remastered),8
I'll Come Running Back To You,Sam Cooke,Portrait of a Legend (Remastered),9
You Were Made For Me,Sam Cooke,Portrait of a Legend (Remastered),10
Sad Mood,Sam Cooke,Portrait of a Legend (Remastered),11
Cupid,Sam Cooke,Portrait of a Legend (Remastered),12
Wonderful World,Sam Cooke,Portrait of a Legend (Remastered),13
Chain Gang,Sam Cooke,Portrait of a Legend (Remastered),14
Summertime,Sam Cooke,Portrait of a Legend (Remastered),15
Little Red Rooster,Sam Cooke,Portrait of a Legend (Remastered),16
Bring It On Home To Me,Sam Cooke,Portrait of a Legend (Remastered),17
Nothing Can Change This Love,Sam Cooke,Portrait of a Legend (Remastered),18
Sugar Dumpling,Sam Cooke,Portrait of a Legend (Remastered),19
(Ain't That) Good News,Sam Cooke,Portrait of a Legend (Remastered),20
Meet Me At Mary's Place,Sam Cooke,Portrait of a Legend (Remastered),21
Twistin' The Night Away,Sam Cooke,Portrait of a Legend (Remastered),22
Shake,Sam Cooke,Portrait of a Legend (Remastered),23
Tennessee Waltz,Sam Cooke,Portrait of a Legend (Remastered),24
Another Saturday Night,Sam Cooke,Portrait of a Legend (Remastered),25
Good Times,Sam Cooke,Portrait of a Legend (Remastered),26
Having A Party,Sam Cooke,Portrait of a Legend (Remastered),27
That's Where It's At,Sam Cooke,Portrait of a Legend (Remastered),28
A Change Is Gonna Come,Sam Cooke,Portrait of a Legend (Remastered),29
Jesus Gave Me Water,Sam Cooke,Portrait of a Legend (Remastered),30
Soul (Spoken Word Hidden Track),Sam Cooke,Portrait of a Legend (Remastered),31
Le Sacre Du Printemps (The Rite Of Spring) - Part 1: The Adoration Of The Earth - Introduction (Lento),Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,1
Part 1: The Adoration Of The Earth - The Augurs Of Spring (Dance Of The Girls),Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,2
Part 1: The Adoration Of The Earth - Mock Abduction,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,3
Part 1: The Adoration Of The Earth - Spring Round Dances,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,4
Part 1: The Adoration Of The Earth - Games Of the Rival Tribes,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,5
Part 1: The Adoration Of The Earth - Procession Of The Wise Elder,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,6
Part 1: The Adoration Of The Earth - Adoration Of The Earth,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,7
Part 1: The Adoration Of The Earth - Dance Of the Earth,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,8
Part 2: The Sacrifice - Introduction: Largo,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,9
Part 2: The Sacrifice - Mystical Circles Of The Young Girls,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,10
Part 2: The Sacrifice - Glorification Of The Chosen Victim,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,11
Part 2: The Sacrifice - Summoning Of The Ancestors,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,12
Part 2: The Sacrifice - Ritual Of The Ancestors,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,13
Part 2: The Sacrifice - Sacrificial Dance (The Chosen Victim),Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,14
Apollon Musagète - Premier tableau: Naissance d'Apollon,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,15
Apollon Musagète - Deuxième taubleau: Variation d'Apollon,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,16
Apollon Musagète - Pas d'action,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,17
Apollon Musagète - Variation de Calliope,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,18
Apollon Musagète - Variation de Polymnie,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,19
Apollon Musagète - Variation (de) Terpsichore,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,20
Apollon Musagète - Variation d'Apollon,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,21
Apollon Musagète - Pas de deux,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,22
Apollon Musagète - Coda,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,23
Apollon Musagète - Apothéose,Igor Stravinsky,The Rite Of Spring: Le Sacre Du Printemps & Apollon Musagète,24
Felicity,Rain Dog,Two Words,1
Cloven,Rain Dog,Two Words,2
Broken,Rain Dog,Two Words,3
Like a Lame Man Stepping,Rain Dog,Two Words,4
Regolith,Rain Dog,Two Words,5
Nerves Like New Thread,Rain Dog,Two Words,6
Nexus,Rain Dog,Two Words,7
Once,Rain Dog,Two Words,8
Fool's Game,Rain Dog,Two Words,9
Watch Over,Rain Dog,Two Words,10
The World Is My Shotgun,Rain Dog,Two Words,11
Whistle and I'll Come to You,Rain Dog,Two Words,12
Gimme Shelter,The Rolling Stones,Let It Bleed,1
Love In Vain,The Rolling Stones,Let It Bleed,2
Country Honk,The Rolling Stones,Let It Bleed,3
Live With Me,The Rolling Stones,Let It Bleed,4
Let It Bleed,The Rolling Stones,Let It Bleed,5
Midnight Rambler,The Rolling Stones,Let It Bleed,6
You Got The Silver,The Rolling Stones,Let It Bleed,7
Monkey Man,The Rolling Stones,Let It Bleed,8
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,9
Blackpool,Roy Harper,The Best of Roy Harper,1
Hup Hup Spiral,Roy Harper,The Best of Roy Harper,2
Sophisticated Beggar,Roy Harper,The Best of Roy Harper,3
Black Clouds,Roy Harper,The Best of Roy Harper,4
October 12th,Roy Harper,The Best of Roy Harper,5
Girlie,Roy Harper,The Best of Roy Harper,6
Committed (Live),Roy Harper,The Best of Roy Harper,7
Mr. Station Master,Roy Harper,The Best of Roy Harper,8
Big Fat Silver Aeroplane,Roy Harper,The Best of Roy Harper,9
China Girl,Roy Harper,The Best of Roy Harper,10
My Friend,Roy Harper,The Best of Roy Harper,11
Goldfish,Roy Harper,The Best of Roy Harper,12
Legend,Roy Harper,The Best of Roy Harper,13
Forever,Roy Harper,The Best of Roy Harper,14
Mrs. Morris,Charles Spearin,The Happiness Project,1
Anna,Charles Spearin,The Happiness Project,2
Vittoria,Charles Spearin,The Happiness Project,3
Vanessa,Charles Spearin,The Happiness Project,4
Marisa,Charles Spearin,The Happiness Project,5
Ondine,Charles Spearin,The Happiness Project,6
Mr. Gowrie,Charles Spearin,The Happiness Project,7
Mrs. Morris (Reprise),Charles Spearin,The Happiness Project,8
Brainfeeder,Flying Lotus,Los Angeles,1
Breathe . Something/Stellar STar,Flying Lotus,Los Angeles,2
Beginners Falafel,Flying Lotus,Los Angeles,3
Camel,Flying Lotus,Los Angeles,4
Melt!,Flying Lotus,Los Angeles,5
Comet Course,Flying Lotus,Los Angeles,6
Orbit 405,Flying Lotus,Los Angeles,7
Golden Diva,Flying Lotus,Los Angeles,8
Riot,Flying Lotus,Los Angeles,9
GNG BNG,Flying Lotus,Los Angeles,10
Parisian Goldfish,Flying Lotus,Los Angeles,11
